activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
ciclesonide,dyspnoeas,621,58.48,10.62,10.63,10.6,9.91878,10.60347,11.31895
mometasone/formoterol,dyspnoeas,84,7.05,11.92,11.92,11.76,9.79228,11.78485,14.03073
budesonide/formoterol,dyspnoeas,233,25.39,9.18,9.18,9.14,8.19519,9.14654,10.16854
budesonide/formoterol/glycopyrronium,dyspnoeas,563,64.87,8.68,8.69,8.66,8.07977,8.66705,9.28205
dexfenfluramine,dyspnoeas,2954,361.88,8.16,8.19,8.16,7.9163,8.16081,8.41031
fenfluramine,dyspnoeas,3331,414.76,8.03,8.07,8.03,7.80269,8.02937,8.26042
aclidinium,dyspnoeas,1513,188.81,8.01,8.03,8.01,7.67548,8.0095,8.35306
epoprostenol,dyspnoeas,4507,595.42,7.57,7.61,7.57,7.38417,7.5681,7.75506
macitentan,dyspnoeas,10759,1465.35,7.34,7.44,7.34,7.22591,7.34172,7.45877
budenoside/formoterol,dyspnoeas,6947,978.25,7.1,7.16,7.1,6.9614,7.10062,7.24169
nilutamide,dyspnoeas,93,11.17,8.32,8.32,8.24,6.91701,8.25244,9.74544
phentermine,dyspnoeas,2914,408.64,7.13,7.16,7.13,6.91387,7.12895,7.34844
selexipag,dyspnoeas,3300,483.09,6.83,6.86,6.83,6.63554,6.82927,7.02675
ferumoxytol,dyspnoeas,465,66,7.05,7.05,7.03,6.50931,7.03327,7.58434
albuterol,dyspnoeas,14635,2293.62,6.38,6.5,6.38,6.29397,6.38033,6.46749
famciclovir,dyspnoeas,2607,406.27,6.42,6.44,6.41,6.21011,6.41466,6.62363
glycopyrrolate,dyspnoeas,417,62.53,6.67,6.67,6.65,6.13115,6.65444,7.20624
olodaterol,dyspnoeas,732,113.11,6.47,6.48,6.46,6.07758,6.46333,6.86492
peginesatide,dyspnoeas,53,7.01,7.56,7.56,7.42,5.8561,7.44428,9.27289
lubiprostone,dyspnoeas,347,54.08,6.42,6.42,6.4,5.84762,6.39853,6.98233
gadoxetate,dyspnoeas,109,15.85,6.88,6.88,6.81,5.79146,6.82301,7.96377
formoterol,dyspnoeas,2929,497.77,5.88,5.91,5.88,5.70489,5.88198,6.06267
glycopyrronium,dyspnoeas,808,134.25,6.02,6.02,6.01,5.66847,6.0104,6.36569
mepolizumab,dyspnoeas,4302,748.6,5.75,5.78,5.74,5.60216,5.74511,5.89046
revefenacin,dyspnoeas,46,6.42,7.16,7.16,6.99,5.40497,7.02203,8.89472
fluticasone/salmeterol,dyspnoeas,8457,1556.93,5.43,5.49,5.43,5.33435,5.43094,5.52868
indacaterol,dyspnoeas,1024,185.03,5.53,5.54,5.53,5.24712,5.52707,5.81673
amikacin,dyspnoeas,1048,191.18,5.48,5.49,5.47,5.20042,5.47457,5.75812
ferric derisomaltose,dyspnoeas,114,18.57,6.14,6.14,6.07,5.17409,6.0796,7.07804
treprostinil,dyspnoeas,12591,2416,5.21,5.29,5.21,5.13483,5.21086,5.28764
