activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
mometasone/formoterol,dyspnoeas,84,8.82,9.53,11.92,9.4,7.82694,9.42008,11.21497
phentermine,dyspnoeas,2914,365.42,7.97,7.16,7.97,7.73154,7.97201,8.21741
dexfenfluramine,dyspnoeas,2954,421.22,7.01,8.19,7.01,6.80093,7.01101,7.22537
fenfluramine,dyspnoeas,3331,499,6.68,8.07,6.67,6.48522,6.67365,6.86569
nilutamide,dyspnoeas,93,11.94,7.79,8.32,7.71,6.47252,7.72088,9.11683
macitentan,dyspnoeas,10759,1656.82,6.49,7.44,6.49,6.39083,6.49326,6.59678
selexipag,dyspnoeas,3300,532.9,6.19,6.86,6.19,6.01522,6.19085,6.36986
lubiprostone,dyspnoeas,347,58.99,5.88,6.42,5.86,5.36061,5.86562,6.40076
ambrisentan,dyspnoeas,18317,3393.12,5.4,5.13,5.4,5.33259,5.39794,5.46382
mepolizumab,dyspnoeas,4302,809.91,5.31,5.78,5.31,5.1781,5.31022,5.44457
omalizumab,dyspnoeas,10586,2040.66,5.19,5.06,5.19,5.10441,5.18691,5.27029
riociguat,dyspnoeas,1952,374.02,5.22,4.73,5.22,5.0236,5.2156,5.41241
ammonia,dyspnoeas,10,0.96,10.39,8.56,9.09,4.94905,9.33531,15.20272
epoprostenol,dyspnoeas,4507,939.07,4.8,7.61,4.8,4.68111,4.79777,4.91636
gadoxetate,dyspnoeas,109,20,5.45,6.88,5.38,4.56774,5.39,6.29866
nintedanib,dyspnoeas,3307,716.69,4.61,4.71,4.61,4.48108,4.61185,4.74515
ferumoxytol,dyspnoeas,465,98.29,4.73,7.05,4.71,4.36133,4.71405,5.08507
treprostinil,dyspnoeas,12591,2918.54,4.31,5.29,4.31,4.25052,4.31346,4.37701
ferric derisomaltose,dyspnoeas,114,22.86,4.99,6.14,4.91,4.18444,4.92195,5.73674
peginesatide,dyspnoeas,53,10.21,5.19,7.56,5.03,3.94029,5.05193,6.33175
ticagrelor,dyspnoeas,2800,692.13,4.05,4.35,4.04,3.91769,4.04217,4.16927
trifluridine,dyspnoeas,188,43.18,4.35,5.02,4.3,3.80243,4.30658,4.8533
bosentan,dyspnoeas,6255,1650.82,3.79,4.03,3.79,3.70923,3.78749,3.86685
pimecrolimus,dyspnoeas,139,31.99,4.34,1.53,4.28,3.69856,4.28047,4.92034
pamidronate,dyspnoeas,1657,454.01,3.65,4.35,3.64,3.49837,3.64386,3.79334
doxercalciferol,dyspnoeas,84,19.57,4.29,5.39,4.17,3.45347,4.18358,5.01129
bebtelovimab,dyspnoeas,254,65.85,3.86,5.15,3.82,3.43456,3.81919,4.2321
casirivimab/imdevimab,dyspnoeas,571,158.77,3.6,4.97,3.58,3.33776,3.5795,3.83278
dextran,dyspnoeas,124,31.49,3.94,5.52,3.85,3.30639,3.85987,4.47421
bamlanivimab,dyspnoeas,654,187.64,3.49,5.09,3.47,3.25162,3.4708,3.69972
benralizumab,dyspnoeas,931,275.09,3.38,3.12,3.37,3.19515,3.37416,3.55979
dronedarone,dyspnoeas,717,211.86,3.38,3.3,3.37,3.16764,3.37104,3.58305
casirivimab,dyspnoeas,226,63.59,3.55,5.33,3.51,3.1378,3.51147,3.91462
digoxin,dyspnoeas,2008,617.97,3.25,3.29,3.24,3.127,3.24475,3.36543
oprelvekin,dyspnoeas,82,21.04,3.9,3.47,3.77,3.11578,3.77936,4.5371
chlorhexidine,dyspnoeas,441,130.03,3.39,2,3.37,3.11176,3.36995,3.64228
methoxy polyethylene glycol epoetic beta,dyspnoeas,839,257.53,3.26,3.34,3.25,3.06552,3.24678,3.43511
sacubitril/valsartan,dyspnoeas,9805,3167.8,3.1,2.93,3.09,3.04318,3.09431,3.14599
nitrofurantoin,dyspnoeas,834,259.31,3.22,3.17,3.2,3.02574,3.20519,3.39165
ciclesonide,dyspnoeas,621,193.62,3.21,10.63,3.19,2.98601,3.19263,3.40869
theophylline,dyspnoeas,553,172.01,3.21,3.17,3.2,2.97917,3.19829,3.42804
imdevimab,dyspnoeas,154,44.48,3.46,5.1,3.4,2.96425,3.40015,3.87886
proteinase,dyspnoeas,931,302.21,3.08,4.68,3.07,2.90828,3.0711,3.23993
clofazimine,dyspnoeas,170,51.2,3.32,3.32,3.26,2.86684,3.2651,3.70025
